"","PN02529AQ","PN02530AQ","PN02533AQ","PN02534AQ","PN02536AQ","PN02537AQ"
"","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Consumo Privado","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Consumo Público","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Inversión Bruta Interna - Inversión Bruta Fija - Privada","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Inversión Bruta Interna - Inversión Bruta Fija - Pública","Producto bruto interno por tipo de gasto (millones S/ 2007) - Exportaciones","Producto bruto interno por tipo de gasto (millones S/ 2007) - Importaciones"
"T483",24944.4531769052,5004.28886301928,3275.34717476865,4505.98780947277,6709.08633840641,5965.89858564413
"T184",25523.3719876054,6179.18371835777,3893.8046576387,2019.06794492192,7368.57386630141,4545.22988292698
"T284",24516.3285666667,5500.07724554272,3085.03667531038,2679.65652149082,7627.79050173443,4911.56698282389
"T384",27979.9275378359,5333.84029558018,3519.82650332526,2651.77764547476,7684.36892610807,4772.09582975569
"T484",28425.3719078921,5256.89874051932,3140.46597626449,3714.58113119558,7607.09762343213,5033.3338632178
"T185",28134.2750576487,6492.77467653112,2999.53457124183,2541.38547262879,7931.62672949012,4412.5405377211
"T285",25634.6875217438,5589.29441086906,3375.15284016988,1682.92330243474,8193.49426450202,4535.6843765575
"T385",27233.0892841985,5429.62125161067,2994.60644326385,1534.80585566914,7681.9425331707,3959.85768857963
"T485",27304.948136409,5740.30966098915,2710.09270800709,3178.22247063355,7727.38075163407,3787.55348383297
"T186",28643.1771329012,7100.3055465067,3328.86483374984,1898.40312636204,7104.04781448649,3897.72421713455
"T286",28289.355348039,5768.56558033406,4758.77514756358,883.836268695472,6915.55687632494,5075.6786411252
"T386",33139.8821329957,6197.28703465009,3962.62728591242,2631.4331605721,6636.24955236937,5420.24314824468
"T486",34490.5853860641,6034.84183850915,4751.85171504011,3108.95404958177,6672.31283605315,6065.6936927428
"T187",35927.5001397457,7184.29049609485,5306.14047180849,1540.70359461408,6568.72702934902,5755.83424926808
"T287",31107.3849496718,5918.34376760605,4931.37253475593,2028.97037807424,7046.9497409678,4900.33861570766
"T387",36587.4269820971,6791.34351624787,5954.33009060104,1720.66333458374,6669.54323066515,6070.51856015687
"T487",35018.6879284853,6644.02222005123,5068.61447590712,2821.53412745003,6065.69902331685,6202.04588535382
"T188",34175.5655918815,6798.32264016639,5276.29655421624,1771.20293152453,6486.00430638643,5442.24565947213
"T288",30688.6826917864,5060.18347058926,5043.26460076494,1518.9346909738,6975.22685184096,5448.23819226947
"T388",33892.0448896766,5357.99191819644,5190.17552862175,696.448604414781,5988.50071792113,5567.53618485294
"T488",28325.7068266556,5137.50197104791,3811.66487641867,1531.81443732631,5150.90280736231,4160.88293052278
"T189",24920.4031741131,4238.69246135727,3328.05328357816,1167.92128554084,7193.63076728146,3910.90006812234
"T289",23229.0365765236,4093.28213036056,2894.17703528987,2071.93378259279,7633.28827059463,4369.17875722545
"T389",27770.505205864,4292.07813764584,4113.6333361294,1389.11007859261,7472.87435492882,3730.70997119819
"T489",30399.0550434993,5466.94727063633,4906.43949140405,1746.76551515103,6918.21464011118,4929.09001771913
"T190",28405.8036254578,5627.16257184086,4770.91028777524,1246.78782062814,6280.48071094198,5953.04855676396
"T290",26295.6790137045,4386.33630108604,4886.58923491847,1296.94027652693,6166.09135477592,4741.89627100136
"T390",24792.3579408039,3116.9862833294,3846.61055567269,794.512160134436,6725.97414644429,4440.89457950017
"T490",26241.1594200338,3118.5148437437,3654.77876186684,1325.65526813473,6624.41801558079,3864.72276323251
"T191",25969.7891435481,4146.83625606338,3791.46561505971,868.137262968002,6490.05295570723,4549.42090401586
"T291",27033.7560992951,3783.71228964656,4225.17418440211,1157.67537106061,7294.49783503952,5575.8419414464
"T391",28476.7212420046,4119.16009421614,4751.59637502065,1270.48574465188,6954.97029781722,5934.49773362629
"T491",28184.7335151522,4518.29136007392,4386.16234487905,1776.2986226635,6557.54576788131,6158.75815521057
"T192",28360.223274549,3857.52278898425,4622.05660690222,1068.58175782768,6699.92462712383,6353.49512291027
"T292",26637.2995903477,4206.67034767037,4040.39502500146,1355.31665533881,6686.12063035657,5843.06808482617
"T392",25928.3959019444,4404.43065684336,4077.95354943628,1595.92276291402,7120.13991909178,5724.99469046658
"T492",27926.0812331589,4568.37620650202,3709.86227864402,2075.82720397954,7975.33114978301,6283.55784162816
"T193",26753.4337120008,4296.33216319215,3960.00249543265,1445.6577443602,6621.56494769137,5625.37961753503
"T293",27582.5752828766,4475.45715913177,4129.65184259414,1594.16535554507,7138.24095571064,6082.46265346909
"T393",29633.4274847242,4519.65606765301,4682.28381006865,1643.11359557696,7028.29459158866,6369.1305081784
"T493",29710.5635203983,4271.55461002306,5256.50535472337,2429.63270297282,8582.80770558264,7024.76465112502
"T194",29220.9309045502,3619.42936922457,4884.51925839568,2437.09224703473,8198.80883736417,7053.64666620596
"T294",31996.9619653845,4431.16497387906,5331.92543678523,2442.63213641053,8758.89498886519,7549.19206654581
"T394",30626.9686703946,5167.16668027986,6962.46648606375,2088.51433042743,9329.69138663168,8097.17936730846
"T494",32588.1384596707,5868.2389766165,7909.08881875533,2296.05666622536,8769.55117427185,9089.34146903441
"T195",32192.3724747863,5156.3586650043,7397.09026051617,2224.45432731781,8940.0523642467,9686.20612562361
"T295",33142.433185064,4971.89487080328,8187.12322529276,2266.64393527975,9089.77240014697,9786.27280815854
"T395",35083.8569715694,5257.04784413439,8674.8055058693,2063.04118897939,9449.72309333958,10421.3511869039
"T495",35856.3373685803,5322.69862005804,7686.98100832176,2303.25971231267,9521.25571609288,10502.138719111
