"","PN01251PM","PN01259PM"
"","Índice del tipo de cambio real (base 2009=100) - Bilateral","Índice del tipo de cambio real (base 2009=100) - Multilateral"
Mar95,94.0311242307363,92.1148396652233
Abr95,93.6163518876091,92.953911364175
May95,92.7393914838053,93.5242503989992
Jun95,91.891039205069,92.4797944574701
Jul95,90.863987321381,91.2290668225938
Ago95,90.5370467859352,90.3584639432321
Sep95,90.6616094995712,90.4215089949848
Oct95,90.8972774737818,90.5623129117027
Nov95,91.9147643090918,91.1383201058701
Dic95,91.8271081499188,91.3949716734339
Ene96,92.2078911551137,91.5049090610026
Feb96,91.3589174936483,91.0673884265321
Mar96,90.6456543509969,90.64169780881
Abr96,90.5379921797628,90.4104240301213
May96,91.7809333433531,91.8242604723263
Jun96,92.5604799314081,92.1529900086017
Jul96,91.6687619922512,90.9298863187854
Ago96,91.7843279933095,91.8873250456955
Sep96,92.7110552056385,92.9286892007339
Oct96,94.6733362298193,94.4661137660996
Nov96,95.5013882783132,95.2678944448508
Dic96,94.3703902310484,94.0120119223608
Ene97,95.7415609443987,94.7763614694032
Feb97,96.4277105490239,94.8934955461433
Mar97,95.2735676859908,93.2492883892227
Abr97,96.0245145308018,93.7534673798701
May97,95.3456964419409,93.8508452804284
Jun97,94.1545408317237,92.295167446911
Jul97,93.3555308414565,90.4651352217415
Ago97,93.3907435551183,90.1128376496287
Sep97,93.0121275333199,90.1141640252762
Oct97,93.7540724895323,90.7006272506821
Nov97,95.6314582922541,91.6405768581812
Dic97,94.7925384089795,89.0334607596921
Ene98,95.0810342173578,88.3455113117173
Feb98,95.9461394777812,89.7267181985635
Mar98,95.1247594944369,89.4783875631526
Abr98,95.1604315860719,89.1987630325928
May98,95.584839376627,89.6523191968295
Jun98,97.3153976569917,90.2305239775244
Jul98,97.2510918500162,89.8077520810929
Ago98,98.4966366731382,90.7601822495049
Sep98,101.856184797643,94.6179120502164
Oct98,102.703012586647,96.3023571409411
Nov98,104.10921598126,97.5239454404537
Dic98,104.833345953053,98.9913074183895
Ene99,108.870620120635,101.174525214288
Feb99,113.585675427462,103.21646076702
Mar99,112.695451709755,101.397236983879
Abr99,111.838515345642,101.029320478599
May99,110.749685451293,100.052416528444
Jun99,110.775545361005,98.084190101392
Jul99,110.312831548554,96.73925113399
Ago99,111.67956606432,98.576743713788
Sep99,113.585648682034,100.299723714092
Oct99,115.733957758935,101.601241897318
Nov99,115.792252672949,101.013708803681
Dic99,115.362515140595,101.271779919788
Ene00,116.143238687938,102.677777447665
Feb00,114.827695880821,101.392653387481
Mar00,114.715269994763,101.154138376723
Abr00,115.39278406058,101.31183353169
May00,116.319265622352,100.874777337992
Jun00,116.311061262737,100.818207406288
Jul00,115.75927439322,99.9904314438901
Ago00,115.127953055334,99.0560606095452
Sep00,115.331961048216,98.9616832799607
Oct00,115.772732513876,98.7559291547306
Nov00,116.695902279476,99.272592623163
Dic00,116.155595370227,99.3865564552085
Ene01,116.773798583428,100.22679224043
Feb01,117.145169505672,100.203385125323
Mar01,116.531848524025,98.6172244063759
Abr01,118.783712601656,99.741397432751
May01,120.676634384871,100.595866784031
Jun01,118.621979961969,98.0080049193462
Jul01,117.166794674078,96.5476227146347
Ago01,117.128987332221,97.3861908731944
Sep01,117.531131078437,97.5309663100012
Oct01,116.086680060265,96.2916631968323
Nov01,115.774919429341,96.4794872249029
Dic01,115.282242013989,96.8431270672478
Ene02,116.971696760264,97.8705518560321
Feb02,118.052394467125,98.4820791897062
Mar02,117.388972329199,97.8273588357242
Abr02,116.600200931272,97.3057369058124
May02,116.864889183165,97.9718238438904
Jun02,118.189691898865,99.0088001937755
Jul02,120.058125829912,100.615613122364
Ago02,121.601808794349,100.989872687745
Sep02,122.890251601026,101.653280852697
Oct02,122.080421847637,99.9935208364386
Nov02,121.494426087466,100.663126374367
Dic02,118.929483054396,99.2444990155391
Ene03,118.491739931531,100.081390715854
Feb03,118.507226481029,99.702671496686
Mar03,117.73918285831,98.9273788950984
Abr03,117.05223655927,99.4668513809373
May03,117.456103290722,101.670114203314
Jun03,118.062124272742,102.004503258893
Jul03,118.116954571513,101.42117387838
Ago03,118.853081641244,101.393507112586
Sep03,118.597518895845,102.115120909143
Oct03,118.320927743029,103.522444529807
Nov03,117.788208030175,103.612834300499
Dic03,116.783222327143,104.023822952226
Ene04,116.587665006925,104.956813064348
