"","PN02508AQ","PN02509AQ","PN02510AQ","PN02511AQ","PN02512AQ","PN02513AQ","PN02514AQ","PN02515AQ","PN02516AQ"
"","Producto bruto interno (índice 2007 = 100) - Agropecuario","Producto bruto interno (índice 2007 = 100) - Pesca","Producto bruto interno (índice 2007 = 100) - Minería e Hidrocarburos","Producto bruto interno (índice 2007 = 100) - Manufactura","Producto bruto interno (índice 2007 = 100) - Electricidad y Agua","Producto bruto interno (índice 2007 = 100) - Construcción","Producto bruto interno (índice 2007 = 100) - Comercio","Producto bruto interno (índice 2007 = 100) - Servicios","Producto bruto interno (índice 2007 = 100) - PBI Global"
"T185",42.0672437611211,31.6579690302895,61.1410220445012,51.4579362803716,30.3202606132841,31.2430758618473,49.694785179081,48.7429163658888,49.3329657085979
"T285",67.6586504297939,20.5821767258465,64.1111714658858,49.8142350892818,30.2728944572782,28.104627604012,55.9790693673405,56.5884839305982,54.9746541272423
"T385",46.2115801416577,25.920234254093,65.5062762534075,48.437588124075,31.5310579761852,27.8145059127283,44.7457206207681,53.3727737453902,51.1104676003311
"T485",33.7657767053192,29.453787665673,63.5342174147988,52.2255899864541,31.9085070318573,33.3256180107715,44.964135826949,59.4490995974755,53.8063879487275
"T186",38.3830262167739,33.4989963567561,56.4107745842158,49.3127677127679,33.2160022776224,32.2084289602393,45.7125770696305,48.7685088127256,47.7988643875948
"T286",67.9038312089651,34.5550890284013,60.7345455749595,57.0447134374621,35.916490267673,33.8630961443408,61.5520033246208,60.9549750948433,58.7436612674417
"T386",52.2272367071834,33.061672910576,62.3785893275893,60.2676634347364,38.1084653145679,38.0667681948047,56.9916521065842,61.9996128989982,58.8282837662415
"T486",39.4097709229722,41.0161612762127,63.3768139508716,66.8060293124336,38.5901313010974,42.114072561229,60.829048100164,69.9788733912186,63.5750862628498
"T187",45.1073343925773,31.8501289087722,59.482570193427,60.2608150769794,37.3650471452492,41.2542981099388,56.4051740923015,56.830539105969,55.7201998244758
"T287",73.6332718219968,32.490716383008,59.8345108309646,63.749309415037,37.7782981103103,41.0621942489769,65.5079292748422,67.6392612756804,63.886462546131
"T387",51.1744443692779,30.8039337865447,58.8142688383693,69.3911469500581,40.2627847032689,45.2102548524426,62.5317752859245,70.4801694502028,64.5613522984534
"T487",41.0527479393839,30.0666738779133,57.5175649807847,69.9350286696531,41.6874498946829,44.6617572815935,62.7690548007249,77.4578697903946,67.0454940759342
"T188",49.383447884003,34.8114877147834,58.0779363661451,62.6758528291104,40.1178418902848,44.676064163942,56.3083962017631,53.7637432896471,55.0138389742419
"T288",81.2634624741708,32.318908818529,54.991083140112,63.5395699334628,40.8341307882098,42.532277447728,66.3123813669497,62.9448496741711,61.6879518284852
"T388",55.2953409225586,33.760708163853,49.0024700887201,59.9968608927635,40.4005502473178,39.2744804592443,54.5888319890003,63.4992128079732,57.5892745187212
"T488",39.956866581325,47.3321828564355,38.2597228167722,47.6127774161121,36.5403304607187,34.0613857770844,44.2367370186047,66.5906885992629,53.2046891289017
"T189",43.3305335299665,39.1905049662374,47.0715749993282,46.1210448546986,38.1748139886269,29.297605873096,41.8592087933289,44.8927918080852,44.052665590089
"T289",70.2867817036613,45.8125751885467,46.1394457595576,45.1558178827556,38.6565077923351,29.9816342565755,49.3091877345568,52.960652481512,49.882359068562
"T389",57.5642438726909,35.6656229868366,47.0481462982465,49.3625213999502,38.9542349613803,36.4170448031927,44.121646303023,54.7542903135676,50.4938136402189
"T489",42.0720734168211,35.3379990552058,50.3187114402092,56.5617445008442,40.0001209662277,41.2651579205131,49.7915508906516,61.3360855568613,55.0575445730929
"T190",45.2918381684377,52.587978638022,42.4323610751962,54.6522157917502,41.6545144648787,39.6663902661505,51.6617361013448,53.7008402271659,50.5991790810164
"T290",64.5722858987967,43.5911849745951,42.2950194153839,49.6703403682371,37.7703076883505,40.3854823169785,51.3416043136223,52.9675616001391,50.4445649984287
"T390",49.6883479303996,26.2703880371919,44.8948986873758,38.4427594342003,36.6225755138905,27.0486301122525,38.8940006019531,45.2153159527686,42.4588724318303
"T490",38.8956669114496,32.541922550075,44.3949787319193,42.997935489949,40.3195698836465,34.1999728025363,39.9264232568677,51.7513491602922,46.0442305874939
"T191",43.4382018442041,34.2256202501848,42.7242937154076,46.5677936842747,39.2250416925206,31.6130318388957,42.4061672802601,48.7273923818555,45.4056319999921
"T291",70.8389375745171,35.6998956424036,45.4499952216847,48.1376585992064,40.5033592064105,33.7798516653498,52.0801189105605,51.9686061699717,50.2912054138756
"T391",52.8123415864742,18.3128234073927,45.6208272438114,50.8713305946632,42.948110904282,38.1051768752153,47.0109332825569,52.0624930985237,49.3527587378475
"T491",39.6153210825032,30.460810014761,45.5359929535952,50.3475006083995,43.4035068700813,37.9271549424536,45.8042780475881,52.6599170296082,48.7037866053467
"T192",42.8638606418457,35.2388296701192,41.9410046223634,47.9714232328204,45.7955348574318,38.328512217959,45.6820160836234,53.0232332152518,48.2386359982531
"T292",59.5222503763751,40.3481871278028,42.7522393934168,48.3492668458849,42.7764763452782,34.2494256700409,48.8742481385112,52.6017027293067,49.322441297008
"T392",46.3564262878524,26.8142739353723,43.185265865937,45.1391075092887,38.7858662831853,37.694680276605,42.7122129975348,49.6002701284393,46.0855522033282
"T492",40.2057593832266,53.7746161296892,45.2235558377982,51.0980072484859,38.673033691382,39.7304369311202,46.17805492999,52.704715562571,49.0594985452093
"T193",43.7158469496624,49.3731145749202,43.1627062108749,48.1979379302165,44.367510499685,38.1865769793001,43.4423394553783,52.5226155018022,48.1196292111799
